County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Area of Concern Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days__1,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting)__1,Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting)__1,% tests resulted in 3 or fewer days - absolute change__1,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Cleveland County, NC",37045,Micropolitan,"Shelby, NC",Micropolitan,NC,Region 4,97947,1,0.0093,3.00E-04,1854,0.0189,4.00E-04,674,688,14,14.3,-0.28,-0.12,0.000536909,942,962,16,16.3,8291,169,SustainedHotspot,0.145,5034,5140,0.98,-0.056,0.18,0.01,0.201,4274,4364,1,0.97,0.049,0.23,0.02,0.152,3468,3541,1,0.95,46,18,24,9,0.84,0.29,1,0.65,0.22,0.15,-0.02,-0.11,0.04,0,0.02,0.01,-0.01,-0.01,1,262,18,48.42857143,1,1,1,1,0.123386606,0.2021843,0.189643379,2.59,0.205907276,0.037673436,0,0.010526101,0.835,0.868513,Uncertain
"Peoria County, IL",17143,Medium metro,"Peoria, IL",Metropolitan,IL,Region 5,179179,0.4473,0.0141,5.00E-04,5484,0.0306,4.00E-04,674,376,17,9.5,-0.27,0,0.000529499,929,518,17,9.5,14775,235,SustainedHotspot,0.114,4951,2763,0.96,-0.013,0.29,-0.02,0.127,3846,2146,1,0.98,0.018,-0.11,-0.01,0.109,4327,2415,1,0.99,102,8,147,11,0.67,0.09,0.62,0.2,0.27,0.05,-0.04,-0.04,0.01,-0.01,-0.03,0,0,-0.01,4,1285,151,259.2857143,1,1,1,1,0.057553207,0.162687867,0.175740461,2.43,0.184329637,0.050541637,0,0.040892069,0.6131,0.274753,Uncertain
"Wood County, OH",39173,Medium metro,"Toledo, OH",Metropolitan,OH,Region 5,130817,0.2038,0.0112,4.00E-04,14323,0.1095,4.00E-04,673,514,3,2.3,-0.22,-0.4,0.000489602,859,657,5,3.8,9831,154,SustainedHotspot,0.217,876,670,0.97,-0.012,0.13,0,0.229,773,591,2,0.97,-0.001,0.52,0.04,0.23,508,388,2,0.93,4,6,2,3,0.35,0.04,0.5,0.14,0.06,0,-0.64,1,-0.02,-0.07,-0.04,-0.1,0.02,-0.04,1,66,10,28,1,1,1,1,0.04434076,0.133255706,0.156898568,2.44,0.026365075,0.057117959,0,0.018476192,0.1662,0.532951,Uncertain
"Wilson County, TN",47189,Large fringe metro,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,TN,Region 4,144657,0.0748,0.0212,4.00E-04,1758,0.0122,4.00E-04,673,465,14,9.7,-0.38,0.17,0.000622974,1093,756,12,8.3,14242,154,SustainedHotspot,0.17,2374,1641,0.99,-0.091,-0.33,0.13,0.261,3569,2467,1,0.86,0.02,0.13,-0.09,0.241,3164,2187,1,0.95,15,8,9,5,0.37,0.13,0.98,0.61,0.58,0.46,1.14,-0.18,0.01,0.02,0,0.24,0.18,0.24,1,185,12,12,1,1,1,1,0.065605909,0.081610496,0.1602826,2.68,0.072917315,0.046454717,0,0.018070332,0.1465,0.448583,Uncertain
"Anchorage Municipality, AK",2020,Medium metro,"Anchorage, AK",Metropolitan,AK,Region 10,288000,0.7267,0.3937,9.00E-04,6903,0.024,4.00E-04,670,233,3,1,-0.29,-0.5,0.000534629,938,326,6,2.1,24530,129,SustainedHotspot,0.04,23076,8012,0.89,-0.004,-0.02,-0.01,0.044,23449,8142,1,0.9,-0.003,0.05,0.04,0.047,22418,7784,1,0.86,17,2,6,1,0.75,0.06,0.82,0.18,0.14,0.04,-0.41,-0.57,0.02,-0.01,-0.03,0.01,-0.01,0.01,4,701.0714286,64.47619048,202,1,1,1,1,0.122077029,0.093025308,0.117211806,2.71,0.053329861,0.093722222,0.09,0.099829861,0.4602,0.159185,Uncertain
"Anoka County, MN",27003,Large fringe metro,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan,MN,Region 5,356921,0.0981,0.0633,0.0011,0,0,4.00E-04,665,186,16,4.5,-0.39,-0.16,0.000624114,1095,307,19,5.3,30733,358,SustainedHotspot,0.063,13513,3786,0.98,-0.017,0.04,0,0.08,12947,3627,1,0.98,0.003,0.09,-0.01,0.077,11839,3317,1,0.99,33,8,18,5,0.89,0.12,1,0.14,0.08,0.02,-0.12,-0.17,-0.01,-0.01,0,-0.26,-0.03,-0.04,1,388.5714286,22.14285714,115,1,1,1,1,0.041497732,0.060938245,0.145076922,2.72,0.071805806,0.048666231,0.01,0.049756108,0.1404,0.102833,Uncertain
"Sarpy County, NE",31153,Medium metro,"Omaha-Council Bluffs, NE-IA",Metropolitan,NE,Region 7,187196,0.1972,0.0968,6.00E-04,5710,0.0305,4.00E-04,665,355,3,1.6,-0.08,2,0.000410946,721,385,1,0.5,17309,82,SustainedHotspot,0.161,4492,2400,0.99,-0.075,0.15,0.06,0.236,3916,2092,1,0.93,0.042,0.18,0.03,0.194,3317,1772,1,0.9,9,10,14,16,0.72,0.14,0.45,0.02,0.06,0,0.29,-0.39,-0.07,-0.1,-0.21,-0.02,-0.06,0,2,88,8,5,1,1,1,1,0.056522613,0.054703786,0.121060279,2.72,0.040139747,0.100755358,0.01,0.026549713,0.0971,0.021331,Uncertain
"Maury County, TN",47119,Large fringe metro,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,TN,Region 4,96387,0.0498,0.0141,3.00E-04,0,0,4.00E-04,663,688,9,9.3,-0.26,0,0.00051354,901,935,9,9.3,10812,122,SustainedHotspot,0.223,2103,2182,0.99,-0.012,-0.39,0.08,0.234,3435,3564,1,0.91,-0.02,0.22,-0.06,0.255,2807,2912,1,0.97,52,14,4,1,0.54,0.18,0.54,0.37,0.24,0.17,-0.17,-0.2,-0.02,-0.02,-0.03,0,-0.12,-0.06,1,378,47,78,1,1,1,1,0.093148367,0.124163653,0.163341529,2.64,0.11767147,0.062280183,0.01,0.009762727,0.3949,0.353709,Uncertain
"Harnett County, NC",37085,Micropolitan,"Fayetteville, NC",Metropolitan,NC,Region 4,135976,0.2582,0.013,4.00E-04,5457,0.0401,4.00E-04,660,485,4,2.9,0.11,-0.43,0.0003397,596,438,7,5.1,7214,105,SustainedHotspot,0.144,3215,2364,0.98,-0.018,0.2,0,0.161,2684,1974,1,0.98,0.031,0.14,0.03,0.131,2356,1733,1,0.95,41,40,29,28,0.78,0.38,0.99,0.8,0.34,0.27,0.6,-0.3,-0.06,-0.03,0,0.12,-0.03,0.02,1,103.2857143,14,17,1,1,1,1,0.11321331,0.174977335,0.128390304,2.82,0.208022004,0.133685356,0.02,0.012825793,0.7869,0.765043,Uncertain
"Racine County, WI",55101,Small metro,"Racine, WI",Metropolitan,WI,Region 5,196311,1,0.0337,6.00E-04,0,0,4.00E-04,660,336,13,6.6,-0.39,-0.32,0.000616704,1082,551,19,9.7,21311,291,SustainedHotspot,0.098,5638,2872,0.98,-0.056,0,0.01,0.153,5651,2879,1,0.97,0.036,0.14,0.05,0.118,4943,2518,1,0.92,228,63,9,2,0.75,0.1,0.61,0.1,0.06,0.02,0.06,0.8,0.04,-0.01,-0.01,-0.07,-0.01,-0.01,3,361,37,121.1428571,1,1,1,1,0.055312238,0.120587121,0.171370937,2.49,0.112591755,0.136283754,0.01,0.013244291,0.4551,0.202165,Uncertain
"Aiken County, SC",45003,Medium metro,"Augusta-Richmond County, GA-SC",Metropolitan,SC,Region 4,170872,0.2806,0.0332,5.00E-04,2714,0.0159,4.00E-04,660,386,4,2.3,-0.17,-0.33,0.000453124,795,465,6,3.5,11094,151,SustainedHotspot,0.262,1665,974,0.86,-0.008,0.32,-0.01,0.27,1258,736,1,0.87,-0.011,-0.02,0.04,0.281,1278,748,1,0.83,25,16,17,11,0.91,0.36,0.94,0.5,0.44,0.18,-0.32,-0.35,0.02,0.07,0.03,0.13,0.1,0.05,1,155,21,33.6,1,1,1,1,0.112830143,0.161054244,0.198932534,2.46,0.247776113,0.059032492,0.01,0.012418653,0.6666,0.540911,Uncertain
"Trumbull County, OH",39155,Medium metro,"Youngstown-Warren-Boardman, OH-PA",Metropolitan,OH,Region 5,197974,0.3693,0.0169,6.00E-04,0,0,4.00E-04,658,332,14,7.1,-0.09,-0.33,0.000413796,726,367,21,10.6,12227,299,SustainedHotspot,0.161,1555,785,0.97,0.025,0.07,0.02,0.136,1459,737,2,0.95,-0.021,-0.01,0,0.157,1476,746,2,0.95,60,15,57,14,0.57,0.15,0.48,0.17,0.13,0.08,-0.11,-0.17,-0.04,-0.03,-0.19,-0.08,-0.14,-0.04,2,401.1428571,58.85714286,62,1,1,1,1,0.072651879,0.174877196,0.220640084,2.3,0.084076697,0.019351026,0,0.005606797,0.464,0.438714,Uncertain
"Monroe County, PA",42089,Small metro,"East Stroudsburg, PA",Metropolitan,PA,Region 3,170271,1,0.0133,5.00E-04,5550,0.0326,4.00E-04,657,386,14,8.2,-0.01,0.56,0.000377888,663,389,9,5.3,7503,227,SustainedHotspot,0.159,4266,2505,0.9,-0.046,0.2,0.08,0.205,3542,2080,2,0.82,0.026,0.09,0.02,0.18,3236,1900,2,0.8,26,10,59,24,0.87,0.22,0.65,0.44,0.47,0.42,-0.3,-0.2,0.02,-0.03,0.02,0.1,0.1,0.17,2,248.2857143,34.28571429,23.14285714,1,1,1,1,0.070581033,0.115080206,0.178227649,2.91,0.136711478,0.16952975,0.01,0.026528299,0.3064,0.677491,Uncertain
"Newton County, GA",13217,Large fringe metro,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan,GA,Region 4,111744,0.0186,0.0105,3.00E-04,0,0,4.00E-04,654,585,15,13.4,0.33,14,0.000279284,490,439,1,0.9,7153,143,SustainedHotspot,0.23,1514,1355,0.64,0.009,0.93,-0.02,0.22,785,702,0,0.66,-0.026,-0.44,-0.05,0.247,1414,1265,0,0.71,35,40,1,1,0.72,0.43,0.99,0.75,0.84,0.4,-0.1,0,0.06,0.11,0,0.01,0.07,0.02,1,88,11,22,1,1,1,1,0.122788072,0.179378437,0.132866194,2.87,0.465787872,0.060871277,0,0.012116982,0.707,0.851321,Uncertain
"Putnam County, NY",36079,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,98320,0.0051,0.0051,3.00E-04,0,0,4.00E-04,652,663,2,2,0.06,1,0.00034996,614,624,1,1,6203,70,SustainedHotspot,0.118,5334,5425,0.89,-0.004,0.18,-0.08,0.122,4532,4609,2,0.97,0.005,-0.03,0.06,0.117,4652,4731,2,0.91,26,20,10,8,0.66,0.25,0.5,0.39,0.09,0.09,0.04,-0.09,0,0.07,0.07,0.07,0.08,0.07,1,127,10,29,1,1,1,1,0.04612372,0.053157065,0.180309194,2.77,0.029180228,0.16401546,0,0.022721725,0.0812,0.205985,Uncertain
"Henderson County, NC",37089,Medium metro,"Asheville, NC",Metropolitan,NC,Region 4,117417,0.2538,0.0112,4.00E-04,0,0,4.00E-04,650,554,1,0.9,-0.05,0,0.000389287,683,582,1,0.9,6673,91,SustainedHotspot,0.126,3790,3228,0.96,-0.035,-0.04,0.01,0.161,3938,3354,2,0.95,0.013,0.25,0,0.148,3147,2680,2,0.95,45,19,45,19,0.56,0.18,0.37,0.22,0.19,0.1,-0.24,-0.13,0,-0.02,-0.06,0,0.01,0,2,239,34,44,1,1,1,1,0.114814124,0.106282862,0.263684134,2.32,0.031664921,0.103366633,0.01,0.012774981,0.321,0.563196,Uncertain
"Bradley County, TN",47011,Small metro,"Cleveland, TN",Metropolitan,TN,Region 4,108110,0.8653,0.0158,3.00E-04,4156,0.0384,4.00E-04,649,600,8,7.4,-0.2,-0.2,0.000463953,814,753,10,9.2,10583,90,SustainedHotspot,0.212,1812,1676,0.98,-0.043,-0.26,0,0.255,2455,2271,1,0.98,0.012,0.11,0.01,0.244,2202,2037,1,0.97,44,20,2,1,0.55,0.18,0.96,0.41,0.33,0.16,0.02,0,-0.1,-0.04,-0.02,-0.1,-0.07,-0.09,1,218,24,29,1,1,1,1,0.118435797,0.165655785,0.173193969,2.55,0.048709648,0.06630284,0.01,0.012431782,0.6914,0.504298,Uncertain
"Ingham County, MI",26065,Medium metro,"Lansing-East Lansing, MI",Metropolitan,MI,Region 5,292406,0.5313,0.0293,9.00E-04,43863,0.15,4.00E-04,648,222,22,7.5,-0.06,-0.12,0.000392707,689,236,25,8.5,13972,231,SustainedHotspot,0.075,8506,2909,0.95,-0.013,-0.2,-0.01,0.088,10693,3657,1,0.96,0.004,0.23,0,0.084,8672,2966,1,0.96,74,10,62,9,0.96,0.16,0.91,0.2,0.34,0.12,-0.18,-0.08,0.02,-0.02,0.07,-0.07,-0.05,0,2,716,63.14285714,105,1,1,1,1,0.059289554,0.201415685,0.139008775,2.41,0.117258196,0.07996074,0.01,0.070207178,0.5742,0.177014,Uncertain
"Wyandotte County, KS",20209,Large fringe metro,"Kansas City, MO-KS",Metropolitan,KS,Region 7,165429,0.0767,0.0568,5.00E-04,0,0,4.00E-04,641,387,19,11.5,-0.06,5.33,0.000389857,684,413,3,1.8,17217,220,SustainedHotspot,0.118,6110,3693,0.98,-0.015,0.37,0.02,0.133,4476,2706,1,0.96,-0.038,-0.03,0.05,0.17,4594,2777,1,0.91,91,8,60,5,0.74,0.13,0.71,0.22,0.27,0.09,-0.19,0.13,0,-0.01,0,-0.03,-0.03,-0.04,2,1125,183.2857143,148.1428571,1,1,1,1,0.185288526,0.200895579,0.125703474,2.72,0.215421722,0.298412008,0.01,0.054301241,0.9242,0.616683,Uncertain
"Madison County, IN",18095,Large fringe metro,"Indianapolis-Carmel-Anderson, IN",Metropolitan,IN,Region 5,129569,0.0625,0.0192,4.00E-04,1367,0.0106,4.00E-04,635,490,14,10.8,-0.12,-0.12,0.000409236,718,554,16,12.3,10424,210,SustainedHotspot,0.164,2635,2034,0.92,-0.058,0.12,0.01,0.223,2353,1816,1.5,0.91,0.006,-0.1,0.06,0.217,2603,2009,2,0.85,62,22,27,10,0.64,0.2,0.85,0.51,0.08,0.05,-0.59,1.25,-0.06,0.02,0.04,0.13,-0.02,-0.01,3,276,31.42857143,82,1,1,1,1,0.087958216,0.172008486,0.186749917,2.4,0.083770038,0.043590674,0,0.006004523,0.6713,0.352754,Uncertain
"Jefferson County, TX",48245,Medium metro,"Beaumont-Port Arthur, TX",Metropolitan,TX,Region 6,251565,0.6408,0.0087,8.00E-04,6457,0.0257,4.00E-04,634,252,11,4.4,-0.5,-0.52,0.000728418,1278,508,23,9.1,15642,255,SustainedHotspot,0.154,3325,1322,0.91,-0.009,-0.08,-0.01,0.163,3606,1433,2,0.92,0.009,0.17,0.01,0.154,3075,1222,2,0.91,146,17,4,0,0.82,0.22,0.88,0.39,0.44,0.11,0.12,-0.79,0,0,-0.09,-0.05,0.01,0,5,852,114.5,352.6666667,1,1,1,1,0.204760819,0.183871319,0.149444478,2.54,0.330825035,0.220921034,0.01,0.039445074,0.8567,0.58007,Uncertain
"Washtenaw County, MI",26161,Medium metro,"Ann Arbor, MI",Metropolitan,MI,Region 5,367601,1,0.0368,0.0011,57660,0.1569,4.00E-04,632,172,9,2.4,-0.37,-0.4,0.000575667,1010,275,15,4.1,15344,217,SustainedHotspot,0.058,15670,4263,0.96,-0.022,0.06,0.06,0.081,14728,4007,1,0.9,0.001,0.12,-0.07,0.079,13120,3569,1,0.97,105,7,76,5,0.86,0.1,0.86,0.17,0.33,0.04,-0.05,-0.06,0.05,-0.02,0.02,0,0,-0.02,4,1578.571429,176.8571429,416.8571429,1,1,1,1,0.03866207,0.142071229,0.145181868,2.47,0.120184657,0.04917016,0,0.093767427,0.2236,0.040751,Uncertain
"Alexandria city, VA",51510,Large central metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan,VA,Region 3,159428,0.0254,0.0187,5.00E-04,0,0,4.00E-04,631,396,3,1.9,0.4,0,0.000257055,451,283,3,1.9,8448,94,SustainedHotspot,0.146,4762,2987,0.92,-0.059,0,-0.03,0.205,4766,2989,1,0.95,0.019,0.04,0,0.186,4593,2881,1,0.95,24,8,53,17,0.73,0.22,0.86,0.3,0.29,0.06,-0.23,0.26,-0.01,0.01,0,0.04,-0.11,-0.07,1,316,36,51,1,1,1,1,0.124059365,0.107377232,0.121653662,2.21,0.218336804,0.166087513,0.01,0.065095215,0.2003,0.11334,Uncertain
"Kanawha County, WV",54039,Small metro,"Charleston, WV",Metropolitan,WV,Region 3,178124,0.6929,0.0994,5.00E-04,3503,0.0197,4.00E-04,628,353,12,6.7,-0.1,-0.33,0.000398977,700,393,18,10.1,10094,237,SustainedHotspot,0.09,10753,6037,0.72,-0.013,0.08,-0.03,0.103,9974,5599,2,0.75,0.011,0.13,0.03,0.091,8861,4975,2,0.72,67,7,152,15,0.78,0.13,0.88,0.26,0.41,0.12,-0.27,0.02,0.01,-0.02,-0.01,-0.02,0.03,0.01,5,986,134,156.1428571,1,1,1,1,0.063973284,0.171335426,0.211880488,2.3,0.074947789,0.011694101,0,0.010593744,0.5656,0.360395,Uncertain
"Clackamas County, OR",41005,Large fringe metro,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan,OR,Region 10,418187,0.1678,0.0991,0.0013,0,0,4.00E-04,627,150,18,4.3,-0.14,2.6,0.000415506,729,174,5,1.2,11499,135,SustainedHotspot,0.082,11300,2702,0.93,-0.019,0.06,-0.01,0.101,10707,2560,1,0.94,0.019,-0.1,0.02,0.082,11912,2848,1,0.92,24,6,7,2,0.63,0.06,0.69,0.11,0.12,0.06,0.09,-0.36,0.01,-0.01,0.15,-0.02,0.06,-0.03,3,425.1666667,34.54761905,59,1,1,1,1,0.05589624,0.084998123,0.18761224,2.59,0.010196395,0.09010084,0.01,0.048597876,0.1895,0.091372,Uncertain
"Rapides Parish, LA",22079,Small metro,"Alexandria, LA",Metropolitan,LA,Region 6,129648,0.8527,0.0279,4.00E-04,2781,0.0215,4.00E-04,625,482,8,6.2,-0.27,0.33,0.000489602,859,663,6,4.6,9742,226,SustainedHotspot,0.089,5444,4199,0.96,-0.043,0.3,0,0.132,4183,3226,1,0.96,0.037,0.05,-0.01,0.095,3979,3069,1,0.97,95,15,10,2,0.77,0.16,0.81,0.33,0.36,0.13,-0.1,-0.29,0.01,0,-0.03,0.02,0,-0.03,6,626,85,86,1,0.833333333,1,1,0.105187466,0.194447281,0.167437986,2.65,0.317058497,0.03234913,0.01,0.014038011,0.9086,0.696275,Uncertain
"Lowndes County, GA",13185,Small metro,"Valdosta, GA",Metropolitan,GA,Region 4,117406,0.7971,0.0111,4.00E-04,7726,0.0658,4.00E-04,622,530,3,2.6,0.8,-0.5,0.000197209,346,295,6,5.1,9734,145,SustainedHotspot,0.155,902,768,0.81,0.041,1.29,0.12,0.114,394,336,2,0.69,-0.074,-0.62,-0.18,0.188,1044,889,0,0.87,17,6,0,0,0.79,0.27,0.94,0.48,0.42,0.28,-0.55,-1,-0.05,0.01,0.05,0.06,0.06,0.03,1,301,48,37,1,1,1,1,0.157870671,0.256262576,0.126007189,2.73,0.366872221,0.05974141,0,0.021719503,0.8662,0.466412,Uncertain
"Tangipahoa Parish, LA",22105,Small metro,"Hammond, LA",Metropolitan,LA,Region 6,134758,1,0.029,4.00E-04,9563,0.071,4.00E-04,618,459,10,7.4,0.15,-0.17,0.000305502,536,398,12,8.9,10192,206,SustainedHotspot,0.12,2517,1868,0.99,-0.027,-0.18,0,0.146,3088,2292,0,0.99,0.027,-0.02,0.02,0.119,3159,2344,0,0.97,45,10,7,2,0.54,0.11,0.45,0.21,0.1,0.05,-0.2,-0.2,-0.01,-0.01,-0.03,-0.01,-0.01,0,6,449.7142857,59,166,1,1,1,1,0.111714017,0.220063216,0.149245314,2.67,0.300828151,0.044086436,0,0.007019991,0.8885,0.67781,Uncertain
"Rogers County, OK",40131,Medium metro,"Tulsa, OK",Metropolitan,OK,Region 6,92459,0.0926,0.0234,3.00E-04,2267,0.0245,4.00E-04,617,667,4,4.3,-0.29,1,0.000493021,865,936,2,2.2,8048,91,SustainedHotspot,0.261,792,857,0.99,-0.035,0.01,0,0.296,786,850,2,0.99,-0.013,0.44,-0.01,0.31,546,591,2,1,49,59,18,22,0.44,0.2,0.7,0.6,0.05,0.04,0.04,1,-0.08,0,0.05,0.13,0,-0.01,2,83,12,13,1,1,1,1,0.109384053,0.095494465,0.166581944,2.6,0.011323938,0.050357456,0.14,0.015076953,0.2834,0.349252,Uncertain
"Rockwall County, TX",48397,Large fringe metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,104915,0.0139,0.0036,3.00E-04,0,0,4.00E-04,616,587,7,6.7,-0.47,0.17,0.000660592,1159,1105,6,5.7,8045,67,SustainedHotspot,0.168,3851,3671,0.8,-0.049,-0.07,-0.15,0.217,4137,3943,2,0.95,0.01,0.03,0.07,0.207,4032,3843,2,0.88,38,53,13,18,1,0.77,0.98,0.96,0.41,0.18,-0.24,-0.03,0,0.01,-0.02,0.05,-0.02,0.03,1,71.16666667,7.833333333,40.33333333,1,1,1,1,0.112453171,0.056773595,0.127674784,2.94,0.070647667,0.186265072,0.01,0.032235619,0.1124,0.104425,Uncertain
"Beaufort County, SC",45013,Small metro,"Hilton Head Island-Bluffton, SC",Metropolitan,SC,Region 4,192122,0.8647,0.0373,6.00E-04,1797,0.0094,4.00E-04,616,321,5,2.6,-0.3,0,0.000502711,882,459,5,2.6,11642,124,SustainedHotspot,0.186,2476,1289,0.67,-0.016,0.02,-0.07,0.202,2424,1262,2,0.74,-0.031,0.23,-0.02,0.233,1969,1025,1,0.76,42,20,0,0,0.98,0.22,0.85,0.33,0.25,0.07,-0.3,-1,0,-0.04,0.06,0,-0.03,-0.04,2,213.1666667,24,65,1,1,1,1,0.114357095,0.112570023,0.280072038,2.51,0.171729422,0.110965949,0,0.014532433,0.4006,0.264247,Uncertain
"Lane County, OR",41039,Medium metro,"Eugene-Springfield, OR",Metropolitan,OR,Region 10,382067,1,0.0906,0.0012,21322,0.0558,4.00E-04,612,160,11,2.9,0.22,2.67,0.000284983,500,131,3,0.8,8127,107,SustainedHotspot,0.025,13168,3447,0.97,0.004,0.22,-0.02,0.021,10833,2835,1,0.99,-0.006,0.17,0,0.027,9227,2415,1,0.99,20,3,191,32,0.81,0.04,0.51,0.01,0.32,0.1,-0.44,-0.14,-0.07,0,0.02,0,0.11,0.01,5,596,104,71.85714286,1,1,1,1,0.076043794,0.185443227,0.199373408,2.39,0.010864587,0.093237574,0.02,0.031672455,0.649,0.485833,Uncertain
"Muskogee County, OK",40101,Micropolitan,"Muskogee, OK",Micropolitan,OK,Region 6,67997,1,0.0172,2.00E-04,243,0.0036,4.00E-04,604,888,2,2.9,0.07,-0.75,0.000320321,562,827,8,11.8,7692,58,SustainedHotspot,0.235,780,1147,1,-0.021,-0.01,0,0.255,787,1157,2,1,-0.081,0.27,0.01,0.336,622,915,2,0.99,51,20,4,2,0.74,0.28,0.8,0.43,0.48,0.13,0.01,0.33,0.05,0.04,0.02,0.06,-0.03,-0.03,3,257.2857143,83,58,1,0.666666667,1,1,0.176895744,0.211142387,0.170595762,2.5,0.105136991,0.065782314,0.2,0.006750298,0.9338,0.773639,Uncertain
"Sullivan County, TN",47163,Medium metro,"Kingsport-Bristol, TN-VA",Metropolitan,TN,Region 4,158348,0.5155,0.0232,5.00E-04,1792,0.0113,4.00E-04,604,381,11,6.9,-0.36,-0.45,0.000535199,939,593,20,12.6,12405,209,SustainedHotspot,0.208,1684,1063,0.97,-0.051,-0.3,0.06,0.26,2394,1512,2,0.91,-0.008,-0.1,-0.04,0.268,2673,1688,1,0.95,57,21,0,0,0.93,0.26,0.9,0.27,0.29,0.12,-0.11,-1,-0.01,-0.03,-0.05,-0.07,-0.09,-0.07,3,274.8571429,39.42857143,49.14285714,1,1,1,1,0.087815446,0.166472114,0.22220047,2.33,0.022317933,0.020334958,0,0.007950842,0.5411,0.405285,Uncertain
"Porter County, IN",18127,Large fringe metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IN,Region 5,170389,0.018,0.0253,5.00E-04,3481,0.0204,4.00E-04,602,353,5,2.9,-0.15,-0.29,0.000402397,706,414,7,4.1,14256,158,SustainedHotspot,0.181,3732,2190,0.91,-0.013,-0.09,0.04,0.194,4108,2411,2,0.87,0.008,0.07,-0.04,0.187,3851,2260,2,0.91,25,12,58,27,0.84,0.15,0.96,0.16,0.12,0.01,-0.05,0.19,-0.05,-0.01,-0.02,-0.07,-0.09,-0.04,1,213.4285714,20.42857143,52,1,1,1,1,0.063130251,0.102464245,0.168743287,2.56,0.040912265,0.103991455,0,0.015523303,0.1478,0.202483,Uncertain
